id,task,T_steer
2,D,40718
2,J,92824
2,M,16940
2,P,59023
2,W,269455
3,D,230233
3,J,278939
3,M,202999
3,P,249797
3,W,166750
4,D,1148543
4,J,1195423
4,M,1114154
4,P,1167467
4,W,1221959
5,D,122028
5,J,176749
5,M,30087
5,P,143164
5,W,203382
6,D,92171
6,J,14613
6,M,65034
6,P,176255
6,W,40458
7,D,331299
7,J,239143
7,M,307224
7,P,348726
7,W,271068
8,D,361365
8,J,415343
8,M,333331
8,P,388982
8,W,293956
9,D,590991
9,J,648074
9,M,552505
9,P,618481
9,W,24895
10,D,170743
10,J,224451
10,M,285462
10,P,194247
10,W,249691
11,D,633985
11,J,524540
11,M,597608
11,P,489799
11,W,563613
12,D,73690
12,J,357662
12,M,47318
12,P,96790
12,W,21125
13,D,46632
13,J,100185
13,M,22639
13,P,65914
13,W,296938
14,D,21288
14,J,72041
14,M,185879
14,P,40160
14,W,99354
15,D,121141
15,J,170782
15,M,229329
15,P,140351
15,W,198763
16,D,73209
16,J,1296859
16,M,47634
16,P,1268214
16,W,21353
17,D,70919
17,J,193884
17,M,47592
17,P,93697
17,W,19879
18,D,265190
18,J,319432
18,M,233348
18,P,290175
18,W,197869
19,D,48696
19,J,18406
19,M,241486
19,P,66684
19,W,45215
20,D,149462
20,J,20491
20,M,85139
20,P,168449
20,W,56863
21,D,360001
21,J,274189
21,M,332538
21,P,244784
21,W,302078
22,D,54546
22,J,288182
22,M,23866
22,P,74434
22,W,319845
23,D,245889
23,J,42594
23,M,213756
23,P,17453
23,W,180246
24,D,261809
24,J,307379
24,M,207483
24,P,282679
24,W,333793
25,D,181932
25,J,238281
25,M,292821
25,P,204276
25,W,264618
26,D,96128
26,J,11981
26,M,72172
26,P,104579
26,W,39134
27,D,68588
27,J,390676
27,M,44394
27,P,87317
27,W,15204
28,D,238663
28,J,283402
28,M,213152
28,P,258266
28,W,183306
29,D,673453
29,J,712386
29,M,645002
29,P,690778
29,W,737939
31,D,281088
31,J,196884
31,M,255052
31,P,165991
31,W,224895
32,D,63639
32,J,223011
32,M,31904
32,P,85430
32,W,257415
33,D,625150
33,J,41223
33,M,599080
33,P,15823
33,W,567630
34,D,57885
34,J,100148
34,M,22152
34,P,76440
34,W,127590
35,D,621934
35,J,673437
35,M,728474
35,P,640681
35,W,701404
37,D,194223
37,J,108026
37,M,168469
37,P,212062
37,W,140360
38,D,322283
38,J,365604
38,M,295646
38,P,340174
38,W,263490
39,D,277284
39,J,322620
39,M,242112
39,P,295383
39,W,349510
40,D,19349
40,J,78591
40,M,131979
40,P,52638
40,W,107883
41,D,77524
41,J,228266
41,M,51498
41,P,199800
41,W,21644
42,D,328674
42,J,250195
42,M,302861
42,P,347473
42,W,276057
43,D,267128
43,J,308297
43,M,238294
43,P,284685
43,W,204379
44,D,238767
44,J,290013
44,M,208253
44,P,256765
44,W,315892
45,D,217975
45,J,265514
45,M,322572
45,P,236119
45,W,295543
46,D,268031
46,J,181945
46,M,240435
46,P,152265
46,W,211195
47,D,27960
47,J,133855
47,M,198163
47,P,47926
47,W,168053
48,D,267705
48,J,309345
48,M,243599
48,P,286480
48,W,211668
50,D,214038
50,J,269373
50,M,327789
50,P,242608
50,W,298375
